id,real_dup,out_dup
29,7,0
35,4,0
125,4,0
148,5,0
149,4,0
150,4,0
151,6,0
152,6,0
154,3,0
157,7,0
169,7,0
252,7,0
253,5,0
254,4,0
255,4,0
257,3,0
258,3,0
259,3,0
261,3,0
262,3,0
263,3,0
264,3,0
265,3,0
266,3,0
267,3,0
272,3,0
292,3,0
293,2,0
294,3,0
296,3,0
297,3,0
298,0,0
299,3,0
310,3,0
314,2,0
315,3,0
337,3,0
340,3,0
408,3,0
448,2,0
504,0,0
512,1,0
521,2,0
536,0,0
538,0,0
548,2,0
553,3,0
564,0,0
568,3,0
581,2,0
587,0,0
605,3,0
607,3,0
615,3,0
616,3,0
619,3,0
623,0,0
640,3,0
644,0,0
648,0,0
657,1,0
658,0,0
659,0,0
669,0,0
677,0,0
692,3,0
701,0,0
703,3,0
724,0,0
726,0,0
727,0,0
728,0,0
732,0,0
740,3,0
746,0,0
155,3,0
156,7,0
290,3,0
314,2,0
318,3,0
324,3,0
497,3,0
